attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",19820.22476196289,223.6304735543795,0.01692939025817432,90427.3910522461,122.54047689242454,0.012685781715600062,1843.5839414596558,299.35524383177494,0.1820065321974616,5126.143932342529,269.1528601245306,0.22378266376062964
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",nan,,,nan,,,8771.615982055664,252.65619576481092,0.038253421112647006,15971.58432006836,346.8978218321353,0.07182394188400029
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",4979.519844055176,1773.3542664998674,0.13476974909562467,20816.896438598633,1060.4910278799532,0.10991037202633193,15361.056327819824,574.85973439102,0.04368766220748875,44869.69757080078,492.00536434651997,0.05099193789727981
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",2584.6080780029297,1708.2769406569173,0.25964812449187097,10814.432144165039,1020.6792001256971,0.21156846716491662,7999.48787689209,556.2506506494984,0.08389145034378465,24597.152709960938,452.25969737769975,0.09301860499786414
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",19897.3445892334,443.80056449111424,0.033727547763490566,35260.57434082031,626.0854315093501,0.06488813284448536,9019.424438476562,493.3485907816514,0.07440481868634082,33159.263610839844,335.4809374392572,0.06900010985925663
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",19355.648040771484,456.220982215382,0.034671463264179685,34744.319915771484,635.3882290675946,0.06585228427399473,2220.7679748535156,495.0966796216178,0.3021876430131184,8385.4398727417,327.79879983818597,0.272853048465294
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",nan,,,nan,,,11526.176452636719,383.06080064200097,0.058223005934156274,36810.9130859375,299.8585208943584,0.06215528603320787
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",17043.455123901367,1040.2600217501886,0.0393751522283108,47963.55056762695,924.1197111173952,0.04783391264508532,38764.57595825195,457.3666694298982,0.017311904578106007,117303.29895019531,377.85861856740394,0.019558565773790455
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",8581.151962280273,1033.0562304350976,0.07820495930498257,26093.24836730957,849.3396811079022,0.0879263576425521,19528.928756713867,455.70552197894904,0.03436382242775533,61792.25540161133,360.0548569932897,0.03712899412861006
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",nan,,,nan,,,65524.73449707031,135.8180348394377,0.010241760537465516,91135.16998291016,244.12750517821058,0.025174521410671957
