attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",288.35201263427734,382.7866608442708,0.46546485586778635,833.952009677887,330.88625839103474,0.5249468493625817
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",495.4240024089813,279.5841433246815,0.27091486756267597,1267.1359777450562,273.27906737856887,0.3454881620353456
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",751.8079876899719,734.1014016514972,0.35705321091998893,2413.2161140441895,571.7508000258342,0.36216735455794985
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",442.68798828125,642.8345591595378,0.6063761906940577,1535.423994064331,463.3494378297388,0.5692161249131696
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",548.0639934539795,519.2370620784004,0.48978852689862096,1592.128038406372,446.84712995325935,0.5489433480958048
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",355.9359908103943,617.804818252109,0.7541677799674789,1256.4159631729126,437.5520857691791,0.695620018861316
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",635.8720064163208,433.97357641708754,0.42215328445241984,1867.2000169754028,369.47253408743296,0.46807416883796726
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",2210.4640007019043,501.29817179385714,0.12143851060897702,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1218.7520265579224,461.70821658384074,0.22025436688555314,3365.600109100342,417.9847623002495,0.26015002722175634
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1573.9200115203857,357.5199632263597,0.17055215896308157,3636.1920833587646,386.87988130169447,0.2407906237976408
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",624.8639822006226,412.164967340541,0.4295902206663186,1790.7840013504028,359.5450967590001,0.48892605659853616
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1484.1279983520508,373.3173835405087,0.1808708253587736,3927.1039962768555,352.70951680250596,0.22295334191049881
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",2775.808095932007,795.3046874455385,0.19341067301691112,9001.02424621582,613.1561058376543,0.19419747621887345
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1534.2719554901123,730.6746167838852,0.34991900235085793,4982.528209686279,562.4923361901981,0.35082113305487134
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1920.7680225372314,583.648603041167,0.27950846000175616,5236.256122589111,535.2362197695963,0.33382175185420426
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",771.5520262718201,665.0200886741424,0.6958324179306332,2711.103916168213,473.14453152094194,0.644747027797641
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1902.6559591293335,580.1398775094938,0.2821692011232947,5721.151828765869,482.33582507025784,0.3055287194461788
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",8558.815956115723,517.8761025121487,0.06272724109885523,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",4509.056091308594,495.34030325176127,0.11906503293113666,12164.992332458496,459.00505947886097,0.14394763861278204
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",5896.86393737793,378.76356574731227,0.09104346271193131,13200.19245147705,423.00845609983475,0.13265881739504914
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",1303.712010383606,423.3193496143463,0.41180176889068504,3720.3519344329834,370.8563934584543,0.47068716908011754
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",5069.28014755249,437.1830043376099,0.10590673554690162,13473.823547363281,411.2053117189762,0.12996473598191663
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",12021.696090698242,734.5430040781469,0.08931699952312097,35707.23342895508,618.2537760973219,0.0979059996612654
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",5989.344120025635,742.9395017571564,0.1792753601199666,19164.575576782227,580.461633308333,0.18241741748955434
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",7185.984134674072,619.2221208662356,0.1494216802983104,19096.76742553711,582.5227167025165,0.18306513904154512
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",1609.2159748077393,683.248779388585,0.6672453174772176,5645.279884338379,486.9089190822554,0.619269984062043
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",6840.576171875,645.4465631771172,0.15696657664813166,20669.727325439453,534.0208787918939,0.16913393819652983
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",34173.75946044922,518.8081521556699,0.031420067354388924,nan,nan,nan
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",17518.65577697754,507.9979186795463,0.06129133637131437,47149.72686767578,471.87127391766234,0.07427919677729919
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",22685.407638549805,392.29802763803934,0.047331828508797316,50829.88739013672,437.70708188185415,0.06890127088260267
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",2667.9680347442627,427.50342600612476,0.4024567798477852,7592.6079750061035,375.55128589629413,0.46127020537988267
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",18403.00750732422,481.7045526616174,0.058345997173161024,49473.82354736328,447.9546891325955,0.07078983569254883
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",47752.03323364258,739.6922947653429,0.04497156461365169,140913.84887695312,626.6561328749743,0.049618293898886945
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",24757.856369018555,716.1320095358016,0.08673948244918792,74931.83898925781,591.5340418872458,0.09331019847253923
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",28873.66485595703,614.0506763444711,0.07437516708437325,72582.58819580078,610.6799810415741,0.09633033130671018
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",3318.0160522460938,684.8337446365877,0.6472191858584546,11877.408027648926,478.2797207384035,0.5886726086806007
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",26294.879913330078,671.648076711652,0.08166927002816782,78132.2250366211,565.0967162676545,0.08948810512849018
