attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",234.0800017118454,994.6778962118302,0.7167300015937673,786.7199778556824,739.8890653654902,0.7270670938839799
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",1027.6800394058228,268.51903139769837,0.16325330216299752,1300.4800081253052,530.4803746383528,0.43983621772437603
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1097.4719524383545,1009.6855413079385,0.1528714785168269,2818.079948425293,983.0288553268272,0.20353257625657648
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1058.5600137710571,539.7567078512125,0.15849092901433304,2042.815923690796,699.2368493286754,0.28077472147550026
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1137.9200220108032,502.1133797139353,0.147437567451825,2314.5599365234375,617.1420094592722,0.24780998882298416
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",474.592000246048,574.5922154663854,0.3535081921166392,1229.0879487991333,554.6732215754687,0.46666397840805557
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",2256.8960189819336,245.49238269024355,0.0743375674328499,2922.463893890381,473.95861959345564,0.19626284287004925
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1301.2160062789917,1696.5770321692994,0.25786980668915666,4437.79182434082,1243.6439548805977,0.257785056461031
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1153.3759832382202,986.9292994744919,0.2909236232385603,2696.4480876922607,1055.3703558801012,0.4242605007757011
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",1225.4400253295898,928.8912779406295,0.27381537493828245,2847.007989883423,999.5586201486303,0.40182409746129427
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",497.8559911251068,1091.2388686620798,0.6739786725107033,1625.0879764556885,835.7698419763271,0.7039596825367279
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",2361.3760471343994,467.4421070762966,0.14209694402854348,3446.784019470215,800.606151151922,0.3319025530865253
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",4202.784061431885,1054.6357330483172,0.07983858201976723,12159.008026123047,911.3420765800112,0.09434504373509911
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",3644.416093826294,617.6109534728893,0.09207080403591074,7092.415809631348,793.3937317604178,0.1617420882800196
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",3794.9440479278564,593.1131711385879,0.08841877923950327,8138.751983642578,691.3932575546485,0.14094816334316962
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",948.0000138282776,616.403401641564,0.3539496994783601,2505.98406791687,582.9550562204377,0.4577611480800738
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 64)",5510.144233703613,402.2041947977088,0.06089574170265698,9042.911529541016,612.6907018542086,0.1268553983142003
noop,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",5344.160079956055,1652.355585996708,0.12557420248637433,20491.93572998047,1077.308273475687,0.11165332851657254
causal,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",3901.4720916748047,1149.3646980196745,0.17200908381018779,10320.38402557373,1086.2518006520386,0.2216964820621397
alibi,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",4013.0558013916016,1117.406414066063,0.16722634152440333,10843.168258666992,1033.8800859462242,0.21100777719382868
sliding_window,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",993.0239915847778,1172.3493370810575,0.6758030477481237,3339.5841121673584,871.4940087887651,0.6851131024560763
document_mask,torch.bfloat16,"(4, 16, 16384, 4, 16384, 128)",5799.9677658081055,761.2501583744283,0.11570558097860353,12302.335739135742,897.2333534684886,0.18598036019465156
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",16931.072235107422,1047.1649256285575,0.039636511538144896,49291.32843017578,899.2263732049295,0.04654539370449299
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",14038.016319274902,636.4196082551261,0.047805090458440454,27319.32830810547,817.5593435016226,0.08398025976792778
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",14175.264358520508,630.2576530942708,0.047342231017837785,30391.29638671875,734.9200189512369,0.07549149134035038
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",1893.3759927749634,637.8329326664996,0.3544402393189962,5078.080177307129,594.5443553199334,0.451801509210641
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 64)",15207.42416381836,582.9266286946373,0.04412901440578347,31326.55906677246,707.4518206778376,0.07323767296337082
noop,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",24977.439880371094,1414.1485761341853,0.05373558244673309,78480.63659667969,1125.1759852505572,0.058307193499416626
causal,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",15156.255722045898,1174.3587381972059,0.0885559932884811,41256.927490234375,1078.5389526249285,0.11091435892997965
alibi,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",15510.335922241211,1147.549700713645,0.08653437854143253,40305.6640625,1103.9938033235326,0.11353207472042254
sliding_window,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",1972.9599952697754,1219.4638732991739,0.6802861098136334,6933.472156524658,867.5139177677044,0.6599847177137397
document_mask,torch.bfloat16,"(4, 16, 32768, 4, 32768, 128)",16031.776428222656,1101.61875074938,0.08371981021624057,42950.782775878906,1027.9734372542296,0.10654021575992943
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",93.18400174379349,743.2214366412185,0.7201758106988552,305.11999130249023,567.4517372031235,0.7173906864168607
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",115.10399729013443,338.447807801189,0.5830280926807736,255.0080120563507,381.9163880171684,0.8583661283223936
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",161.40800714492798,241.3554088244262,0.4157715914288135,273.3120024204254,356.33904847759305,0.8008804518701287
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",122.81599640846252,317.19561532064176,0.5464179419821564,257.0880055427551,378.8264593456626,0.8514214404436593
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 64)",649.5040059089661,53.31479638149215,0.10332324880134137,457.0559859275818,189.40881910628045,0.47891340829016527
noop,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",115.35999923944473,1196.0456422820632,1.1634685236206843,409.59998965263367,842.1376212741858,1.0668800269516565
causal,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",126.88000500202179,611.6913473857704,1.0578319885616438,342.0479893684387,567.2552070785636,1.2775811043557683
alibi,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",184.9920004606247,419.53922884638183,0.7255326050088748,359.5840036869049,539.5915865293704,1.2152766628086635
sliding_window,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",133.12000036239624,583.0183368743717,1.0082461511013778,343.7120020389557,564.5089548488015,1.2713959518657483
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",677.8879761695862,101.76889783739342,0.19799396466418956,544.7360277175903,316.6116645573041,0.8022124951620652
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",286.75198554992676,966.0801129614733,0.46806207023327195,966.2719964981079,716.7376049289825,0.45306133426878964
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",284.9920094013214,516.3995266434218,0.47095260067799527,689.1520023345947,533.8798198853185,0.6352451687246936
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",400.2560079097748,367.68901863722886,0.3353297023595339,754.9440264701843,487.35314669653957,0.5798846863480542
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",238.65599930286407,489.70102154309205,0.5623899185105852,595.9360003471375,490.27952073679995,0.73460989056709
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",1704.3520212173462,81.27000383234578,0.07875000371351336,1085.4719877243042,319.0149005742478,0.40330886927612786
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",337.92001008987427,1633.2365088093304,0.7943757338566784,1261.5360021591187,1093.7129352460365,0.6927967925641199
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",309.2159926891327,948.200072920434,0.8681163405085228,883.072018623352,830.0529872780826,0.9897132709090781
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",449.2799937725067,652.5966677351348,0.5974792105608925,922.7520227432251,794.3592091631442,0.9471538121387628
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",255.39198517799377,911.6738862643937,1.0510723577050223,755.7439804077148,770.2152107198682,1.1564605457108554
