attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
causal,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",458.20799469947815,602.2410170930923,0.3661484782910338,1545.4399585723877,446.3965863528476,0.37011998093305926,718.4000015258789,396.1235205840249,0.2335358569649952,2380.7361125946045,298.83103831472175,0.24026107092424348
alibi,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",1566.4960145950317,352.3170773458222,0.10710027886242163,5000.671863555908,275.9145733787206,0.11438427147532532,746.5280294418335,381.1981956052904,0.22473658507563396,2532.639980316162,280.90761024438524,0.22585057980826576
sliding_window,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",1545.632004737854,357.0728969406953,0.10854599250385923,4787.231922149658,288.2162941503017,0.11948412303850739,550.2719879150391,399.61868846929565,0.3048895158841044,1802.1440505981445,305.05187701146025,0.3173987161626451
document_mask,torch.bfloat16,"(4, 16, 4096, 4, 4096, 128)",nan,,,nan,,,1027.8079509735107,268.4856139774229,0.16323298515164328,3884.671926498413,177.59006036369382,0.14724492024622293
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",2299.13592338562,481.9643549983125,0.07297183184930846,5983.007907867432,463.02026481984416,0.09586667456109753,2807.647943496704,394.67254608423127,0.05975541213726854,8676.639556884766,319.2772833028256,0.06610520907773346
causal,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",1203.3920288085938,460.40755457931067,0.13941604729266915,3417.4718856811523,405.3074902425785,0.16783490579782162,1499.168038368225,375.3467324800236,0.11191017664878462,4784.031867980957,294.05522379885616,0.11989282007899098
alibi,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",4312.2878074646,256.9637305863186,0.03890560358925609,10780.159950256348,256.9770688656734,0.05320617455090365,1749.2159605026245,321.6914533973895,0.09591277680303803,5114.6559715271,275.0467615869726,0.11214264951406831
sliding_window,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",4303.296089172363,257.50065517362924,0.038986896677208886,10500.288009643555,263.82646870026565,0.05462431806377381,735.584020614624,350.12593476514644,0.22808021286244964,2386.3680362701416,269.8106902430506,0.24035314892018214
document_mask,torch.bfloat16,"(4, 16, 8192, 4, 8192, 64)",nan,,,nan,,,2729.4719219207764,202.9882691719008,0.06146689352346802,5683.072090148926,243.7285557860489,0.100926235476448
noop,torch.bfloat16,"(4, 16, 8192, 4, 8192, 128)",3054.8160076141357,722.6664992724666,0.10984108999155924,10039.039611816406,549.757067285983,0.11395476661467341,4884.352207183838,451.9766586236498,0.06869781411473277,13769.887924194336,400.80449497797304,0.0830795735083613
